var str='';
for (var i in $('.taptap-topic-item')){
	str +=$('.taptap-topic-item').eq(i).find(".item-text-title").eq(0).find('h2').eq(0).text()+','
《江湖X:汉家江湖》第一届论剑结算及跨服论剑开启通知,2017-06-21,https://www.taptap.com/topic/573119
《江湖X:汉家江湖》1.0.4停服更新预告,2017-06-16,https://www.taptap.com/topic/549206
江湖X：汉家江湖热更新公告20170527,2017-06-01,https://www.taptap.com/topic/486201
江湖X的大侠们跳起极乐净土！！！！,2017-05-27,https://www.taptap.com/topic/486032
帮会首领相关设定调整通知,2017-05-27,https://www.taptap.com/topic/483365
江湖X：汉家江湖iOS部分机型闪退优化！解决方案,2017-05-27,https://www.taptap.com/topic/484750
江湖X:汉家江湖 端午活动预告,2017-05-26,https://www.taptap.com/topic/476577
江湖X：汉家江湖1.0.2停服更新公告,2017-05-25,https://www.taptap.com/topic/479293
封号名单公示20170523,2017-05-25,https://www.taptap.com/topic/475460
作弊封号名单公示 2017年5月20日,2017-05-23,https://www.taptap.com/topic/468767
《江湖X：汉家江湖》即将更新1.0.2，版本预览,2017-05-23,https://www.taptap.com/topic/474152
江湖X：汉家江湖 新服集结计划,2017-05-23,https://www.taptap.com/topic/473409
关于最近风气和说客服不到位的问题解释,2017-05-22,https://www.taptap.com/topic/468151
【水月山庄】5月18日服务器故障说明,2017-05-20,https://www.taptap.com/topic/461658
庆祝《江湖X：汉家江湖》登顶AppStore中国区付费榜！,2017-05-18,https://www.taptap.com/topic/461655
关于永久关闭《江湖X：汉家江湖》游戏内观看广告功能的通知,2017-05-18,https://www.taptap.com/topic/457309
《江湖X：汉家江湖》2017年5月16日更新公告,2017-05-17,https://www.taptap.com/topic/457299
帮会恶意踢人惩罚公示,2017-05-16,https://www.taptap.com/topic/457297
